tl,u/t,r,pick_ratio,A_f
10%,70%,1500,0.7," 0.06033280091764925
"
10%,90%,500,0.1," 0.4891270010632206
"
10%,90%,500,0.3," 0.494899903812905
"
10%,90%,500,0.5," 0.5020356809908098
"
10%,90%,500,0.7," 0.5115901742806434
"
10%,90%,1000,0.1," 0.600427280224033
"
10%,90%,1000,0.3," 0.6072256414431316
"
10%,90%,1000,0.5," 0.6156302535169602
"
10%,90%,1000,0.7," 0.6268843561361007
"
10%,90%,1500,0.1," 0.755109187451825
"
10%,90%,1500,0.3," 0.7633697310001711
"
10%,90%,1500,0.5," 0.7735849733756632
"
10%,90%,1500,0.7," 0.7872666091935643
"
30%,10%,500,0.1," 0.0
"
30%,10%,500,0.3," 6.26255567909e-312
"
30%,10%,500,0.5," 3.585179921368905e-224
"
30%,10%,500,0.7," 2.434092286436139e-136
"
30%,10%,1000,0.1," 0.0
"
30%,10%,1000,0.3," 1.6801028902711482e-306
"
30%,10%,1000,0.5," 2.704407389278169e-220
"
30%,10%,1000,0.7," 5.162678545257736e-134
"
30%,10%,1500,0.1," 0.0
"
30%,10%,1500,0.3," 4.50711242453284e-301
"
30%,10%,1500,0.5," 2.039942435242925e-216
"
30%,10%,1500,0.7," 1.0949749318690379e-131
"
30%,30%,500,0.1," 4.276028495570633e-39
"
30%,30%,500,0.3," 1.2776852645453283e-31
"
30%,30%,500,0.5," 6.86916268706019e-24
"
30%,30%,500,0.7," 4.3949541378433643e-16
"
30%,30%,1000,0.1," 3.451253541206591e-37
"
30%,30%,1000,0.3," 3.916332502447991e-30
"
30%,30%,1000,0.5," 7.99527264970026e-23
"
30%,30%,1000,0.7," 1.942494448942707e-15
"
30%,30%,1500,0.1," 2.6298220653811216e-35
"
30%,30%,1500,0.3," 1.1485562223744493e-28
"
30%,30%,1500,0.5," 9.023175911708274e-22
"
30%,30%,1500,0.7," 8.436099188013816e-15
"
30%,50%,500,0.1," 0.011088387366207833
"
30%,50%,500,0.3," 0.011942667796396262
"
30%,50%,500,0.5," 0.013032388080690564
"
30%,50%,500,0.7," 0.014542850499289854
"
30%,50%,1000,0.1," 0.013235505517622554
"
30%,50%,1000,0.3," 0.014155824661483296
"
30%,50%,1000,0.5," 0.015319628592214508
"
30%,50%,1000,0.7," 0.016918307900331112
"
30%,50%,1500,0.1," 0.015664578062128013
"
30%,50%,1500,0.3," 0.016646998087690285
"
30%,50%,1500,0.5," 0.01787885515822667
"
30%,50%,1500,0.7," 0.019564440560923102
"
30%,70%,500,0.1," 0.2148961188878516
"
30%,70%,500,0.3," 0.21817442190440814
"
30%,70%,500,0.5," 0.22222841646619357
"
